Date,Close,NormalizedClose,Segment
2019-06-17,3955.000000,100.000000,history
2019-06-18,3940.000000,99.620733,history
2019-06-19,3950.000000,99.873578,history
2019-06-20,3960.000000,100.126422,history
2019-06-21,3940.000000,99.620733,history
2019-06-24,3935.000000,99.494311,history
2019-06-25,3955.000000,100.000000,history
2019-06-26,3970.000000,100.379267,history
2019-06-27,3970.000000,100.379267,history
2019-06-28,3945.000000,99.747155,history
2019-07-01,3955.000000,100.000000,history
2019-07-02,3990.000000,100.884956,history
2019-07-03,4000.000000,101.137800,history
2019-07-04,4030.000000,101.896334,history
2019-07-05,4035.000000,102.022756,history
2019-07-08,4030.000000,101.896334,history
2019-07-09,4025.000000,101.769912,history
2019-07-10,4015.000000,101.517067,history
2019-07-11,4020.000000,101.643489,history
2019-07-12,4005.000000,101.264223,history
2019-07-16,3975.000000,100.505689,history
2019-07-17,3985.000000,100.758534,history
2019-07-18,3965.000000,100.252845,history
2019-07-19,3965.000000,100.252845,history
2019-07-22,3955.000000,100.000000,history
2019-07-23,3960.000000,100.126422,history
2019-07-24,3970.000000,100.379267,history
2019-07-25,3960.000000,100.126422,history
2019-07-26,3970.000000,100.379267,history
2019-07-29,3975.000000,100.505689,history
2019-07-30,3985.000000,100.758534,history
2019-07-31,3975.000000,100.505689,history
2019-08-01,3985.000000,100.758534,history
2019-08-02,3960.000000,100.126422,history
2019-08-05,3935.000000,99.494311,history
2019-08-06,3960.000000,100.126422,history
2019-08-07,3955.000000,100.000000,history
2019-08-08,3935.000000,99.494311,history
2019-08-09,3945.000000,99.747155,history
2019-08-13,3925.000000,99.241466,history
2019-08-14,3940.000000,99.620733,history
2019-08-15,3930.000000,99.367889,history
2019-08-16,3915.000000,98.988622,history
2019-08-19,3960.000000,100.126422,history
2019-08-20,3965.000000,100.252845,history
2019-08-21,3940.000000,99.620733,history
2019-08-22,3900.000000,98.609355,history
2019-08-23,3890.000000,98.356511,history
2019-08-26,3885.000000,98.230088,history
2019-08-27,3875.000000,97.977244,history
2019-08-28,3875.000000,97.977244,history
2019-08-29,3880.000000,98.103666,history
2019-08-30,3930.000000,99.367889,history
2019-09-02,3935.000000,99.494311,history
2019-09-03,3935.000000,99.494311,history
2019-09-04,3925.000000,99.241466,history
2019-09-05,3940.000000,99.620733,history
2019-09-06,3940.000000,99.620733,history
2019-09-09,3985.000000,100.758534,history
2019-09-10,3985.000000,100.758534,history
2019-09-11,4020.000000,101.643489,history
2019-09-12,4000.000000,101.137800,history
2019-09-13,4030.000000,101.896334,history
2019-09-17,4040.000000,102.149178,history
2019-09-18,4035.000000,102.022756,history
2019-09-19,4045.000000,102.275601,history
2019-09-20,4045.000000,102.275601,history
2019-09-24,4055.000000,102.528445,history
2019-09-25,4065.000000,102.781290,history
2019-09-26,4040.000000,102.149178,history
2019-09-27,3965.000000,100.252845,history
2019-09-30,3970.000000,100.379267,history
2019-10-01,3955.000000,100.000000,history
2019-10-02,3970.000000,100.379267,history
2019-10-03,3970.000000,100.379267,history
2019-10-04,3985.000000,100.758534,history
2019-10-07,3970.000000,100.379267,history
2019-10-08,3950.000000,99.873578,history
2019-10-09,3980.000000,100.632111,history
2019-10-10,3945.000000,99.747155,history
2019-10-11,3930.000000,99.367889,history
2019-10-15,3950.000000,99.873578,history
2019-10-16,3960.000000,100.126422,history
2019-10-17,3930.000000,99.367889,history
2019-10-18,3920.000000,99.115044,history
2019-10-21,3915.000000,98.988622,history
2019-10-23,3930.000000,99.367889,history
2019-10-24,3915.000000,98.988622,history
2019-10-25,3920.000000,99.115044,history
2019-10-28,3920.000000,99.115044,history
2019-10-29,3900.000000,98.609355,history
2019-10-30,3980.000000,100.632111,history
2019-10-31,3935.000000,99.494311,history
2019-11-01,3950.000000,99.873578,history
2019-11-05,3970.000000,100.379267,history
2019-11-06,3960.000000,100.126422,history
2019-11-07,3950.000000,99.873578,history
2019-11-08,3965.000000,100.252845,history
2019-11-11,3965.000000,100.252845,history
2019-11-12,3960.000000,100.126422,history
2019-11-13,3965.000000,100.252845,history
2019-11-14,3930.000000,99.367889,history
2019-11-15,3990.000000,100.884956,history
2019-11-18,3985.000000,100.758534,history
2019-11-19,3980.000000,100.632111,history
