Date,Close,NormalizedClose,Segment
2019-04-05,2965.000000,100.000000,history
2019-04-08,2953.000000,99.595278,history
2019-04-09,2904.000000,97.942664,history
2019-04-10,2934.000000,98.954469,history
2019-04-11,2987.000000,100.741990,history
2019-04-12,2975.000000,100.337268,history
2019-04-15,3000.000000,101.180438,history
2019-04-16,3030.000000,102.192243,history
2019-04-17,3030.000000,102.192243,history
2019-04-18,3040.000000,102.529511,history
2019-04-19,3030.000000,102.192243,history
2019-04-22,3050.000000,102.866779,history
2019-04-23,3075.000000,103.709949,history
2019-04-24,3055.000000,103.035413,history
2019-04-25,3070.000000,103.541315,history
2019-04-26,3060.000000,103.204047,history
2019-05-07,3020.000000,101.854975,history
2019-05-08,2946.000000,99.359191,history
2019-05-09,2866.000000,96.661046,history
2019-05-10,2889.000000,97.436762,history
2019-05-13,2885.000000,97.301855,history
2019-05-14,2856.000000,96.323777,history
2019-05-15,2948.000000,99.426644,history
2019-05-16,3010.000000,101.517707,history
2019-05-17,3100.000000,104.553120,history
2019-05-20,3100.000000,104.553120,history
2019-05-21,3205.000000,108.094435,history
2019-05-22,3185.000000,107.419899,history
2019-05-23,3260.000000,109.949410,history
2019-05-24,3260.000000,109.949410,history
2019-05-27,3260.000000,109.949410,history
2019-05-28,3265.000000,110.118044,history
2019-05-29,3190.000000,107.588533,history
2019-05-30,3100.000000,104.553120,history
2019-05-31,3080.000000,103.878583,history
2019-06-03,3090.000000,104.215852,history
2019-06-04,3085.000000,104.047218,history
2019-06-05,3135.000000,105.733558,history
2019-06-06,3110.000000,104.890388,history
2019-06-07,3090.000000,104.215852,history
2019-06-10,3090.000000,104.215852,history
2019-06-11,3095.000000,104.384486,history
2019-06-12,3065.000000,103.372681,history
2019-06-13,3070.000000,103.541315,history
2019-06-14,3030.000000,102.192243,history
2019-06-17,2971.000000,100.202361,history
2019-06-18,2969.000000,100.134907,history
2019-06-19,3005.000000,101.349073,history
2019-06-20,3020.000000,101.854975,history
2019-06-21,2960.000000,99.831366,history
2019-06-24,2936.000000,99.021922,history
2019-06-25,2970.000000,100.168634,history
2019-06-26,2946.000000,99.359191,history
2019-06-27,2913.000000,98.246206,history
2019-06-28,2908.000000,98.077572,history
2019-07-01,2944.000000,99.291737,history
2019-07-02,2981.000000,100.539629,history
2019-07-03,3010.000000,101.517707,history
2019-07-04,3020.000000,101.854975,history
2019-07-05,3030.000000,102.192243,history
2019-07-08,3005.000000,101.349073,history
2019-07-09,3030.000000,102.192243,history
2019-07-10,3010.000000,101.517707,history
2019-07-11,3060.000000,103.204047,history
2019-07-12,3070.000000,103.541315,history
2019-07-16,3020.000000,101.854975,history
2019-07-17,3025.000000,102.023609,history
2019-07-18,2954.000000,99.629005,history
2019-07-19,3030.000000,102.192243,history
2019-07-22,2970.000000,100.168634,history
2019-07-23,2975.000000,100.337268,history
2019-07-24,3015.000000,101.686341,history
2019-07-25,2976.000000,100.370995,history
2019-07-26,2980.000000,100.505902,history
2019-07-29,2987.000000,100.741990,history
2019-07-30,3010.000000,101.517707,history
2019-07-31,3090.000000,104.215852,history
2019-08-01,3135.000000,105.733558,history
2019-08-02,3080.000000,103.878583,history
2019-08-05,3040.000000,102.529511,history
2019-08-06,3060.000000,103.204047,history
2019-08-07,3095.000000,104.384486,history
2019-08-08,3110.000000,104.890388,history
2019-08-09,3105.000000,104.721754,history
2019-08-13,3090.000000,104.215852,history
2019-08-14,3105.000000,104.721754,history
2019-08-15,3090.000000,104.215852,history
2019-08-16,3115.000000,105.059022,history
2019-08-19,3125.000000,105.396290,history
2019-08-20,3170.000000,106.913997,history
2019-08-21,3150.000000,106.239460,history
2019-08-22,3135.000000,105.733558,history
2019-08-23,3145.000000,106.070826,history
2019-08-26,3165.000000,106.745363,history
2019-08-27,3175.000000,107.082631,history
2019-08-28,3185.000000,107.419899,history
2019-08-29,3225.000000,108.768971,history
2019-08-30,3240.000000,109.274874,history
2019-09-02,3195.000000,107.757167,history
2019-09-03,3160.000000,106.576728,history
2019-09-04,3180.000000,107.251265,history
2019-09-05,3170.000000,106.913997,history
2019-09-06,3170.000000,106.913997,history
2019-09-09,3265.000000,110.118044,history
2019-09-10,3265.000000,110.118044,history
2019-09-11,3340.000000,112.647555,history
2019-09-12,3315.000000,111.804384,history
2019-09-13,3355.000000,113.153457,history
2019-09-17,3390.000000,114.333895,history
2019-09-18,3380.000000,113.996627,history
2019-09-19,3405.000000,114.839798,history
2019-09-20,3410.000000,115.008432,history
2019-09-24,3450.000000,116.357504,history
2019-09-25,3450.000000,116.357504,history
2019-09-26,3435.000000,115.851602,history
2019-09-27,3410.000000,115.008432,history
2019-09-30,3360.000000,113.322091,history
2019-10-01,3375.000000,113.827993,history
2019-10-02,3390.000000,114.333895,history
2019-10-03,3355.000000,113.153457,history
2019-10-04,3365.000000,113.490725,history
2019-10-07,3355.000000,113.153457,history
2019-10-08,3380.000000,113.996627,history
2019-10-09,3400.000000,114.671164,history
2019-10-10,3320.000000,111.973019,history
2019-10-11,3325.000000,112.141653,history
2019-10-15,3410.000000,115.008432,history
2019-10-16,3415.000000,115.177066,history
2019-10-17,3400.000000,114.671164,history
2019-10-18,3340.000000,112.647555,history
2019-10-21,3365.000000,113.490725,history
2019-10-23,3365.000000,113.490725,history
2019-10-24,3360.000000,113.322091,history
2019-10-25,3400.000000,114.671164,history
2019-10-28,3360.000000,113.322091,history
2019-10-29,3370.000000,113.659359,history
2019-10-30,3605.000000,121.585160,history
2019-10-31,3620.000000,122.091062,history
2019-11-01,3505.000000,118.212479,history
2019-11-05,3575.000000,120.573356,history
2019-11-06,3500.000000,118.043845,history
2019-11-07,3530.000000,119.055649,history
2019-11-08,3560.000000,120.067454,history
2019-11-11,3610.000000,121.753794,history
2019-11-12,3565.000000,120.236088,history
2019-11-13,3565.000000,120.236088,history
2019-11-14,3550.000000,119.730185,history
2019-11-15,3575.000000,120.573356,history
2019-11-18,3590.000000,121.079258,history
2019-11-19,3580.000000,120.741990,history
2019-11-20,3600.000000,121.416526,history
2019-11-21,3565.000000,120.236088,history
2019-11-22,3575.000000,120.573356,history
2019-11-25,3580.000000,120.741990,history
2019-11-26,3555.000000,119.898820,history
2019-11-27,3620.000000,122.091062,history
2019-11-28,3575.000000,120.573356,history
2019-11-29,3525.000000,118.887015,history
2019-12-02,3560.000000,120.067454,history
2019-12-03,3560.000000,120.067454,history
2019-12-04,3580.000000,120.741990,history
2019-12-05,3565.000000,120.236088,history
