Date,Close,NormalizedClose
2025-01-06,210.000000,100.000000
2025-01-07,214.000000,101.904762
2025-01-08,214.000000,101.904762
2025-01-09,214.000000,101.904762
2025-01-10,214.000000,101.904762
2025-01-14,209.000000,99.523810
2025-01-15,209.000000,99.523810
2025-01-16,207.000000,98.571429
2025-01-17,207.000000,98.571429
2025-01-20,209.000000,99.523810
2025-01-21,207.000000,98.571429
2025-01-22,207.000000,98.571429
2025-01-23,205.000000,97.619048
2025-01-24,210.000000,100.000000
2025-01-27,209.000000,99.523810
2025-01-28,212.000000,100.952381
2025-01-29,210.000000,100.000000
2025-01-30,208.000000,99.047619
2025-01-31,206.000000,98.095238
2025-02-03,203.000000,96.666667
2025-02-04,208.000000,99.047619
2025-02-05,207.000000,98.571429
2025-02-06,208.000000,99.047619
2025-02-07,209.000000,99.523810
2025-02-10,211.000000,100.476190
2025-02-12,208.000000,99.047619
2025-02-13,211.000000,100.476190
2025-02-14,210.000000,100.000000
2025-02-17,222.000000,105.714286
2025-02-18,225.000000,107.142857
2025-02-19,240.000000,114.285714
2025-02-20,242.000000,115.238095
2025-02-21,246.000000,117.142857
2025-02-25,247.000000,117.619048
2025-02-26,250.000000,119.047619
2025-02-27,249.000000,118.571429
2025-02-28,242.000000,115.238095
2025-03-03,238.000000,113.333333
2025-03-04,230.000000,109.523810
2025-03-05,236.000000,112.380952
2025-03-06,239.000000,113.809524
2025-03-07,232.000000,110.476190
2025-03-10,241.000000,114.761905
2025-03-11,228.000000,108.571429
2025-03-12,230.000000,109.523810
2025-03-13,225.000000,107.142857
2025-03-14,245.000000,116.666667
2025-03-17,244.000000,116.190476
2025-03-18,240.000000,114.285714
2025-03-19,257.000000,122.380952
2025-03-21,262.000000,124.761905
2025-03-24,268.000000,127.619048
2025-03-25,261.000000,124.285714
2025-03-26,274.000000,130.476190
2025-03-27,274.000000,130.476190
2025-03-28,274.000000,130.476190
2025-03-31,262.000000,124.761905
2025-04-01,266.000000,126.666667
2025-04-02,266.000000,126.666667
2025-04-03,260.000000,123.809524
2025-04-04,248.000000,118.095238
2025-04-07,213.000000,101.428571
2025-04-08,236.000000,112.380952
2025-04-09,224.000000,106.666667
2025-04-10,239.000000,113.809524
