Date,Close,NormalizedClose
2025-01-06,1322.000000,100.000000
2025-01-07,1316.500000,99.583964
2025-01-08,1304.500000,98.676248
2025-01-09,1303.000000,98.562784
2025-01-10,1295.500000,97.995461
2025-01-14,1277.500000,96.633888
2025-01-15,1266.000000,95.763994
2025-01-16,1254.500000,94.894100
2025-01-17,1249.500000,94.515885
2025-01-20,1273.000000,96.293495
2025-01-21,1270.000000,96.066566
2025-01-22,1272.500000,96.255673
2025-01-23,1263.000000,95.537065
2025-01-24,1253.500000,94.818457
2025-01-27,1253.500000,94.818457
2025-01-28,1256.000000,95.007564
2025-01-29,1259.500000,95.272315
2025-01-30,1248.000000,94.402421
2025-01-31,1269.000000,95.990923
2025-02-03,1257.500000,95.121029
2025-02-04,1260.000000,95.310136
2025-02-05,1263.000000,95.537065
2025-02-06,1285.500000,97.239032
2025-02-07,1297.000000,98.108926
2025-02-10,1323.000000,100.075643
2025-02-12,1345.000000,101.739788
2025-02-13,1423.500000,107.677761
2025-02-14,1440.000000,108.925870
2025-02-17,1484.500000,112.291982
2025-02-18,1450.000000,109.682300
2025-02-19,1460.000000,110.438729
2025-02-20,1427.500000,107.980333
2025-02-21,1435.000000,108.547655
2025-02-25,1427.000000,107.942511
2025-02-26,1418.500000,107.299546
2025-02-27,1403.500000,106.164902
2025-02-28,1395.000000,105.521936
2025-03-03,1399.500000,105.862330
2025-03-04,1388.000000,104.992436
2025-03-05,1401.500000,106.013616
2025-03-06,1415.000000,107.034796
2025-03-07,1418.000000,107.261725
2025-03-10,1425.000000,107.791225
2025-03-11,1415.000000,107.034796
2025-03-12,1409.500000,106.618759
2025-03-13,1407.000000,106.429652
2025-03-14,1417.500000,107.223903
2025-03-17,1439.000000,108.850227
2025-03-18,1458.000000,110.287443
2025-03-19,1453.500000,109.947050
2025-03-21,1449.000000,109.606657
2025-03-24,1434.000000,108.472012
2025-03-25,1440.500000,108.963691
2025-03-26,1444.000000,109.228442
2025-03-27,1430.500000,108.207262
2025-03-28,1398.000000,105.748865
2025-03-31,1378.500000,104.273828
2025-04-01,1359.500000,102.836611
2025-04-02,1355.500000,102.534039
2025-04-03,1338.000000,101.210287
2025-04-04,1300.000000,98.335855
2025-04-07,1223.500000,92.549168
2025-04-08,1294.000000,97.881997
2025-04-09,1265.000000,95.688351
2025-04-10,1317.500000,99.659607
2025-04-11,1314.000000,99.394856
2025-04-14,1344.500000,101.701967
2025-04-15,1346.000000,101.815431
2025-04-16,1333.000000,100.832073
2025-04-17,1338.000000,101.210287
