Date,Close,NormalizedClose
2025-01-06,2117.000000,100.000000
2025-01-07,2131.000000,100.661313
2025-01-08,2124.000000,100.330657
2025-01-09,2112.000000,99.763817
2025-01-10,2075.000000,98.016060
2025-01-14,2070.000000,97.779877
2025-01-15,2066.000000,97.590931
2025-01-16,2059.000000,97.260274
2025-01-17,2045.000000,96.598961
2025-01-20,2064.000000,97.496457
2025-01-21,2075.000000,98.016060
2025-01-22,2098.000000,99.102504
2025-01-23,2114.000000,99.858290
2025-01-24,2120.000000,100.141710
2025-01-27,2124.000000,100.330657
2025-01-28,2115.000000,99.905527
2025-01-29,2137.000000,100.944733
2025-01-30,2129.000000,100.566840
2025-01-31,2129.000000,100.566840
2025-02-03,2093.000000,98.866320
2025-02-04,2112.000000,99.763817
2025-02-05,2112.000000,99.763817
2025-02-06,2118.000000,100.047237
2025-02-07,2118.000000,100.047237
2025-02-10,2109.000000,99.622107
2025-02-12,2109.000000,99.622107
2025-02-13,2124.000000,100.330657
2025-02-14,2134.000000,100.803023
2025-02-17,2140.000000,101.086443
2025-02-18,2151.000000,101.606046
2025-02-19,2151.000000,101.606046
2025-02-20,2118.000000,100.047237
2025-02-21,2114.000000,99.858290
2025-02-25,2093.000000,98.866320
2025-02-26,2087.000000,98.582900
2025-02-27,2113.000000,99.811053
2025-02-28,2056.000000,97.118564
2025-03-03,2088.000000,98.630137
2025-03-04,2089.000000,98.677374
2025-03-05,2087.000000,98.582900
2025-03-06,2095.000000,98.960794
2025-03-07,2077.000000,98.110534
2025-03-10,2064.000000,97.496457
2025-03-11,2000.000000,94.473311
2025-03-12,2054.000000,97.024091
2025-03-13,2070.000000,97.779877
2025-03-14,2069.000000,97.732641
2025-03-17,2088.000000,98.630137
2025-03-18,2105.000000,99.433160
2025-03-19,2105.000000,99.433160
2025-03-21,2128.000000,100.519603
2025-03-24,2125.000000,100.377893
2025-03-25,2124.000000,100.330657
2025-03-26,2135.000000,100.850260
2025-03-27,2122.000000,100.236183
2025-03-28,2113.000000,99.811053
2025-03-31,2045.000000,96.598961
2025-04-01,2053.000000,96.976854
2025-04-02,2032.000000,95.984884
2025-04-03,1963.000000,92.725555
2025-04-04,1907.000000,90.080302
2025-04-07,1792.000000,84.648087
2025-04-08,1884.000000,88.993859
2025-04-09,1818.000000,85.876240
2025-04-10,1956.000000,92.394898
2025-04-11,1901.000000,89.796882
2025-04-14,1924.000000,90.883325
2025-04-15,1939.000000,91.591875
2025-04-16,1918.000000,90.599906
2025-04-17,1936.000000,91.450165
2025-04-18,1971.000000,93.103448
2025-04-21,1953.000000,92.253188
2025-04-22,1944.000000,91.828059
2025-04-23,1978.000000,93.434105
2025-04-24,2012.000000,95.040151
2025-04-25,2011.000000,94.992915
2025-04-28,2038.000000,96.268304
2025-04-30,2046.000000,96.646197
